placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
AVIA,HVO_TANKSTELLE,53.188205,6.372460,,"https://www.google.com/maps/search/?api=1&query=53.188205,6.37246"
AVIA,HVO_TANKSTELLE,53.167093,6.496515,,"https://www.google.com/maps/search/?api=1&query=53.1670926,6.4965154"
AVIA,HVO_TANKSTELLE,53.288957,6.599851,,"https://www.google.com/maps/search/?api=1&query=53.288957,6.5998509"
AVIA,HVO_TANKSTELLE,53.168831,6.751122,,"https://www.google.com/maps/search/?api=1&query=53.168831,6.7511216"
AVIA,HVO_TANKSTELLE,52.437399,6.334899,,"https://www.google.com/maps/search/?api=1&query=52.4373987,6.3348987"
AVIA,HVO_TANKSTELLE,52.249936,6.177956,,"https://www.google.com/maps/search/?api=1&query=52.2499363,6.177956"
AVIA,HVO_TANKSTELLE,48.806924,8.942333,,"https://www.google.com/maps/search/?api=1&query=48.8069237,8.9423326"
AVIA,HVO_TANKSTELLE,48.294468,10.548380,,"https://www.google.com/maps/search/?api=1&query=48.2944683,10.5483802"
AVIA,HVO_TANKSTELLE,48.187017,11.535201,,"https://www.google.com/maps/search/?api=1&query=48.1870174,11.5352007"
AVIA,HVO_TANKSTELLE,47.653055,9.178801,,"https://www.google.com/maps/search/?api=1&query=47.6530553,9.1788011"
AVIA,HVO_TANKSTELLE,49.822072,9.260295,,"https://www.google.com/maps/search/?api=1&query=49.8220717,9.2602949"
AVIA,HVO_TANKSTELLE,50.589330,10.411567,,"https://www.google.com/maps/search/?api=1&query=50.5893298,10.4115672"
AVIA,HVO_TANKSTELLE,52.290852,6.929906,,"https://www.google.com/maps/search/?api=1&query=52.2908516,6.9299064"
AVIA,HVO_TANKSTELLE,52.171075,6.741258,,"https://www.google.com/maps/search/?api=1&query=52.1710754,6.7412583"
AVIA,HVO_TANKSTELLE,52.241790,6.771996,,"https://www.google.com/maps/search/?api=1&query=52.2417899,6.7719955"
AVIA,HVO_TANKSTELLE,52.199240,6.642531,,"https://www.google.com/maps/search/?api=1&query=52.1992399,6.6425313"
AVIA,HVO_TANKSTELLE,51.940043,6.081836,,"https://www.google.com/maps/search/?api=1&query=51.9400429,6.0818358"
AVIA,HVO_TANKSTELLE,52.371524,6.641492,,"https://www.google.com/maps/search/?api=1&query=52.3715245,6.6414922"
AVIA,HVO_TANKSTELLE,51.964035,6.711250,,"https://www.google.com/maps/search/?api=1&query=51.9640346,6.7112498"
AVIA,HVO_TANKSTELLE,52.295745,6.754634,,"https://www.google.com/maps/search/?api=1&query=52.295745,6.7546337"
AVIA,HVO_TANKSTELLE,52.755381,6.916219,,"https://www.google.com/maps/search/?api=1&query=52.7553812,6.9162185"
AVIA,HVO_TANKSTELLE,50.031263,10.518258,,"https://www.google.com/maps/search/?api=1&query=50.0312628,10.5182584"
AVIA,HVO_TANKSTELLE,48.942775,10.915209,,"https://www.google.com/maps/search/?api=1&query=48.9427746,10.9152094"
AVIA,HVO_TANKSTELLE,49.110376,12.119909,,"https://www.google.com/maps/search/?api=1&query=49.1103759,12.1199088"
AVIA,HVO_TANKSTELLE,49.503592,11.285318,,"https://www.google.com/maps/search/?api=1&query=49.503592,11.2853176"
AVIA,HVO_TANKSTELLE,48.593763,9.236834,,"https://www.google.com/maps/search/?api=1&query=48.5937634,9.2368338"
AVIA,HVO_TANKSTELLE,50.155489,8.601527,,"https://www.google.com/maps/search/?api=1&query=50.1554886,8.6015271"
AVIA,HVO_TANKSTELLE,48.493583,9.163603,,"https://www.google.com/maps/search/?api=1&query=48.4935827,9.1636031"
AVIA,HVO_TANKSTELLE,49.525447,9.328552,,"https://www.google.com/maps/search/?api=1&query=49.5254473,9.3285524"
AVIA,HVO_TANKSTELLE,48.144902,11.639639,,"https://www.google.com/maps/search/?api=1&query=48.1449018,11.6396387"
AVIA,HVO_TANKSTELLE,50.996248,10.354828,,"https://www.google.com/maps/search/?api=1&query=50.9962475,10.3548275"
AVIA,HVO_TANKSTELLE,50.904461,10.559001,,"https://www.google.com/maps/search/?api=1&query=50.9044609,10.5590012"
